X,Y,X,Y
419665.6615,7289394.577,-16.7507498694837,65.7161839859615
419944.4894,7289374.661,-16.7446646915701,65.7160749291934
419954.4475,7289304.954,-16.7444056477988,65.7154522916461
419959.4266,7289235.247,-16.744255058376,65.7148284142243
420034.1126,7289235.247,-16.7426284101489,65.7148469967427
420039.0917,7289299.975,-16.7425590599511,65.7154287018542
420103.8196,7289299.975,-16.7411492636093,65.7154447921258
420153.6103,7289275.079,-16.7400497882092,65.7152338981013
420203.401,7289354.744,-16.7390133545983,65.7159606785608
420357.7521,7289205.372,-16.7355615966318,65.7146594071519
420322.8986,7289065.958,-16.7362368022924,65.7134005332893
420288.0451,7289060.979,-16.7369928686373,65.7133472447239
420298.0033,7288956.419,-16.7367130578319,65.7124120381476
420228.2963,7288871.775,-16.7381801383161,65.7116356827616
420168.5475,7288866.796,-16.7394782973356,65.7115762057182
420168.5475,7288812.026,-16.7394452820995,65.7110850390021
420203.401,7288742.319,-16.7386442881067,65.7104685697036
420258.1707,7288737.34,-16.7374486133357,65.7104375035132
420258.1707,7288677.591,-16.7374126407552,65.7099016854339
420203.401,7288672.612,-16.7386022914229,65.7098434504995
420208.38,7288632.779,-16.7384698744316,65.7094874709266
420193.4428,7288617.842,-16.7387861379304,65.7093498126305
420188.4638,7288518.261,-16.738834557139,65.7084555535089
420128.7149,7288518.261,-16.7401355594528,65.7084407219307
420128.7149,7288438.596,-16.7400875268866,65.7077263016324
420073.9452,7288428.638,-16.741274067398,65.7076233953945
420088.8824,7288234.454,-16.7408317031126,65.7058857026172
420228.2963,7288229.475,-16.7377933358276,65.7058756547233
420228.2963,7288124.914,-16.7377303856073,65.704937970417
420327.8777,7288124.914,-16.7355623402482,65.7049626486929
420327.8777,7288025.333,-16.7355024675736,65.704069622975
420213.3591,7287930.731,-16.73793867676,65.7031928675915
420128.7149,7287920.773,-16.7397753860949,65.7030825631213
420123.7359,7287870.982,-16.7398537697345,65.7026348105665
419934.5313,7287870.982,-16.7439726710459,65.70258778055
419929.5522,7287816.212,-16.7440479749157,65.7020953753096
419770.222,7287821.191,-16.7475194586562,65.7021003338768
419775.2011,7287771.401,-16.7473809313739,65.701655069736
419725.4104,7287766.421,-16.7484617932684,65.7015979913033
419725.4104,7287572.238,-16.7483441966851,65.6998566017319
419471.4779,7287572.238,-16.7538715742564,65.6997931507958
419471.4779,7287622.028,-16.7539018204577,65.7002396550787
419371.8965,7287627.008,-16.7560724783072,65.7002593765322
419371.8965,7287671.819,-16.7560997345766,65.7006612298904
419317.1267,7287671.819,-16.7572919496562,65.7006475006368
419322.1058,7287930.731,-16.7573411643708,65.7029706025403
419371.8965,7287930.731,-16.7562572359314,65.7029830846318
419371.8965,7288010.396,-16.7563057040083,65.7036974992231
419252.3988,7288035.291,-16.7589223715611,65.703890779703
419252.3988,7288060.187,-16.7589375415546,65.7041140400918
419212.5663,7288070.145,-16.7598107905411,65.7041933402563
419202.6081,7288119.935,-16.7600579458842,65.7046373419187
419167.7547,7288119.935,-16.7608167408804,65.7046285862762
419157.7965,7288324.077,-16.7611580940245,65.7064567700067
419212.5663,7288329.056,-16.7599686499438,65.7065151803291
419212.5663,7288413.7,-16.7600202646046,65.7072742434051
419172.7337,7288413.7,-16.7608875502881,65.7072642366222
419172.7337,7288498.345,-16.760939194298,65.7080233082165
419117.964,7288617.842,-16.7622047061908,65.7090811536748
419237.4616,7288792.11,-16.7597089309381,65.7106739670918
419411.729,7288792.11,-16.7559140533457,65.7107176821787
419391.8128,7288876.754,-16.7563992712986,65.7114717550894
419456.5407,7288991.272,-16.7550593516527,65.7125149392403
419511.3104,7288986.293,-16.7538635644081,65.712484001929
419501.3523,7289031.105,-16.7541076706088,65.7128833714585
419620.8499,7289379.64,-16.7517168354826,65.7160388353375
