x,y,FCO2
730895,4719238,0.27
731848,4721814,0.724
729871,4718645,0.966
731425,4722625,1.06
731191,4720082,1.085
731225,4722013,1.113
731304,4722686,1.127
731470,4720079,1.168
729713,4718557,1.328
730285,4719256,1.335
729790,4718615,1.363
732024,4720249,1.395
730068,4718752,1.404
730128,4718835,1.411
731371,4719989,1.495
731086,4719607,1.529
730021,4718745,1.717
730979,4719349,1.724
729630,4718499,1.752
731813,4722850,1.961
729544,4718472,2.037
729318,4718332,2.051
731603,4722600,2.12
729904,4718400,2.169
731896,4719589,2.355
731022,4719916,2.364
731323,4722594,2.389
729173,4718392,2.42
730670,4719629,2.433
731297,4720169,2.454
728822,4718185,2.532
730189,4718864,2.6
729462,4718417,2.76
730968,4719692,2.767
729404,4719570,2.809
728759,4718616,2.823
730332,4718847,2.87
730879,4718664,2.885
731171,4719359,2.906
729114,4719820,2.913
730193,4719875,2.924
731850,4722075,2.968
729484,4719509,2.972
730266,4718909,3.052
730546,4718456,3.09
730283,4718597,3.094
731653,4721883,3.156
728733,4718307,3.198
728666,4718914,3.214
731191,4718921,3.226
731150,4722138,3.233
731526,4719356,3.323
732130,4720033,3.326
731339,4720055,3.559
729275,4719992,3.621
731780,4721967,3.643
729284,4718273,3.657
730858,4719469,3.712
731053,4719770,3.733
730294,4720046,3.74
730050,4719127,3.75
731224,4719792,3.824
731779,4721630,3.9
731749,4721846,3.9
731557,4722137,3.935
730533,4719093,3.954
731638,4722988,3.975
729452,4718554,4.131
729978,4719082,4.185
729224,4718200,4.269
731820,4721726,4.308
728704,4718692,4.519
731550,4721273,4.679
731405,4722635,4.732
731241,4719954,4.866
728952,4719735,4.888
729734,4720177,5.026
730480,4719344,5.107
732117,4720244,5.15
731923,4720229,5.177
729681,4718703,5.179
731456,4719756,5.29
730208,4718548,5.325
731931,4720038,5.37
731062,4720032,5.555
729656,4718788,5.558
731450,4722275,5.565
731867,4721889,5.59
729361,4719485,5.638
731391,4721223,5.652
731669,4719588,5.676
730852,4719784,5.708
728617,4718467,5.742
731920,4719938,5.784
730183,4719538,5.789
731525,4722313,5.83
731763,4720225,5.833
731663,4722450,5.883
731966,4719651,5.907
731050,4718800,5.923
728825,4718779,5.955
730297,4719137,5.972
729120,4718287,5.987
731586,4721075,6.007
731928,4720137,6.03
731040,4722750,6.084
728549,4718542,6.125
730577,4719130,6.207
731692,4721460,6.207
729565,4719572,6.304
731350,4722263,6.36
731012,4718791,6.368
730520,4718974,6.422
730606,4719026,6.438
730202,4718721,6.514
731780,4722775,6.519
731925,4722888,6.519
729095,4718192,6.524
731671,4719489,6.524
731029,4719075,6.528
730547,4719396,6.701
729499,4718605,6.709
729462,4720353,6.792
729931,4718885,6.806
731709,4721038,6.889
731263,4722258,6.89
731416,4719397,6.903
729164,4719637,6.969
730120,4719197,7.042
730419,4718993,7.07
731383,4721884,7.098
731280,4721675,7.102
731808,4719740,7.194
732022,4719743,7.329
731401,4722633,7.346
730921,4719575,7.453
731616,4721552,7.597
729243,4719696,7.602
732122,4720133,7.634
730607,4718757,7.661
728781,4719120,7.668
731741,4721562,7.736
731496,4721432,7.758
729982,4720005,7.838
730272,4718709,7.87
730178,4719777,7.897
730736,4718567,7.932
730684,4719096,7.967
