"X","Y","X","Y"
731012.270990153,4722900.23175582,11.817,42.623918
731661.818802529,4723076.33001189,11.824983,42.625307
732005.015323754,4722926.3783916,11.829102,42.623855
731989.129869643,4721928.70368261,11.828502,42.614886
731721.579239317,4721287.72245019,11.824983,42.609201
732008.339582346,4720932.09372251,11.82833,42.605916
732132.698095615,4720374.36832992,11.829617,42.600862
732180.405547127,4719792.95586053,11.829961,42.595618
730904.981666769,4718499.90891706,11.81391,42.58437
730395.276508374,4718349.45510682,11.807645,42.583169
730297.403023464,4718535.98157324,11.806529,42.584876
729639.402769725,4718176.88618171,11.798375,42.581842
729501.839820236,4718284.73350093,11.796744,42.582853
729217.218274722,4718148.92785879,11.793225,42.581716
728780.689742624,4718127.41538091,11.787903,42.581652
728527.458959266,4718322.85378074,11.784899,42.583485
728498.283201188,4718567.80539086,11.784642,42.585697
728520.908692463,4719165.65416878,11.785157,42.591068
728666.701825008,4719662.17011055,11.787131,42.595491
729365.096139357,4720289.33162122,11.795886,42.600925
729607.467876593,4720845.21073968,11.799061,42.605853
729837.867618341,4721126.66134585,11.80198,42.608316
730185.910059723,4721475.39361416,11.806359,42.611349
730617.115771237,4721433.46315985,11.811593,42.610843
730637.319441148,4721672.93855523,11.811936,42.612991
730815.734371372,4721819.2881159,11.814168,42.614254
731011.437862702,4721867.93968808,11.816571,42.614633
730964.054366585,4722020.89519314,11.816056,42.616023
730799.340504216,4722099.68210025,11.814082,42.616781
731012.270990153,4722900.23175582,11.817,42.623918
