x,y,CO2flux
515224,4048555,22.98
515245,4048530,6.15
515279,4048506,12.73
515312,4048485,15.7
515349,4048462,22.98
515383,4048430,14.99
515420,4048410,21.07
515455,4048386,26.66
515490,4048356,31.05
515523,4048324,33.1
515558,4048293,13.37
515590,4048259,47.81
515611,4048237,122.91
515633,4048217,17.47
515649,4048196,77.01
515684,4048224,33.66
515661,4048236,4.38
515643,4048257,72.28
515609,4048285,13.79
515574,4048317,30.06
515540,4048349,21.57
515503,4048381,24.68
515464,4048413,21.36
515428,4048441,35.36
515390,4048473,15.7
515352,4048503,16.62
515317,4048530,15.56
515281,4048560,15.77
515239,4048580,17.82
515244,4048626,29.14
515284,4048602,8.27
515325,4048578,24.89
515361,4048549,14.85
515399,4048522,27.44
515437,4048497,12.38
515476,4048473,5.37
515510,4048445,24.68
515548,4048417,17.96
515574,4048377,19.73
515603,4048349,22.35
515639,4048323,27.3
515673,4048309,91.58
515696,4048287,23.27
515725,4048264,84.23
515744,4048295,22.35
515728,4048322,142.29
515684,4048347,39.04
515646,4048382,60.47
515613,4048408,34.58
515575,4048441,15.7
515532,4048474,39.32
515496,4048503,9.26
515458,4048530,10.18
515417,4048554,15.49
515374,4048577,14.71
515334,4048602,9.48
515294,4048628,15.49
515257,4048656,21.71
515262,4048693,23.13
515300,4048667,7.14
515340,4048643,4.24
515379,4048617,14.64
515416,4048594,10.47
515457,4048570,24.75
515494,4048545,44.34
515529,4048517,22.98
515574,4048486,47.24
515601,4048462,49.5
515631,4048432,38.12
515667,4048412,64.71
515700,4048391,94.13
515727,4048367,505.15
515757,4048360,51.13
515739,4048404,26.87
515766,4048391,30.69
515711,4048416,30.34
515681,4048443,68.81
515648,4048476,48.51
515613,4048501,29.28
515574,4048529,26.24
515536,4048555,42.71
515499,4048583,27.79
515467,4048609,16.69
515426,4048634,8.98
515389,4048657,9.41
515346,4048684,4.74
515301,4048701,13.3
515268,4048718,25.67
515288,4048769,6.72
515324,4048743,9.05
515361,4048719,36.56
515399,4048699,15.49
515446,4048671,3.96
515478,4048649,10.25
515517,4048628,22.77
515551,4048602,23.69
515597,4048570,11.53
515634,4048551,48.16
515673,4048527,46.53
515706,4048504,30.98
515756,4048477,29.56
515778,4048429,8.34
515803,4048407,81.75
515842,4048426,2.48
515825,4048462,276.66
515854,4048445,31.82
515829,4048476,2586.23
515806,4048492,24.89
515767,4048524,27.65
515726,4048541,20.3
515684,4048565,17.68
515644,4048592,12.45
515608,4048617,29.56
515572,4048644,26.45
515530,4048672,12.87
515492,4048699,9.41
515449,4048724,12.02
515412,4048747,10.75
515376,4048768,31.19
515333,4048795,17.75
515295,4048820,22.49
515316,4048855,31.26
515349,4048837,27.3
515391,4048823,26.94
515424,4048797,4.38
515461,4048765,12.94
515510,4048737,4.74
515551,4048708,14
515600,4048680,32.18
515630,4048657,17.75
515676,4048635,18.88
515715,4048612,29.63
515755,4048588,5.23
515812,4048571,10.96
515844,4048541,20.86
515865,4048495,12.52
515877,4048472,251.41
515887,4048452,18.25
515921,4048484,305.51
515906,4048508,6.44
515897,4048522,5.87
515886,4048548,34.44
515862,4048609,6.72
515832,4048649,29.84
515777,4048688,21.71
515745,4048704,15.7
515704,4048707,19.09
515663,4048721,33.24
515625,4048736,46.89
515590,4048747,17.04
515548,4048759,13.65
515512,4048782,9.69
515472,4048803,18.81
515432,4048838,10.47
515400,4048872,34.79
515369,4048894,13.15
515325,4048896,104.95
515203,4048577,39.74
515169,4048597,51.84
515138,4048620,77.72
515106,4048635,10.18
515118,4048656,152.47
515160,4048644,53.32
515193,4048626,51.34
515210,4048656,17.75
515230,4048701,9.19
515233,4048743,6.08
515261,4048792,9.83
515263,4048827,5.94
515270,4048874,2.33
515283,4048916,13.79
515246,4048925,5.8
515229,4048886,5.37
515224,4048834,8.42
515213,4048788,58.56
515200,4048741,0.99
515182,4048704,166.69
515161,4048663,113.22
515522,4048153,171.5
515493,4048177,43.92
515465,4048199,26.87
515431,4048224,35.5
515407,4048248,60.89
515376,4048234,43
515389,4048204,141.79
515427,4048183,23.13
515454,4048155,58.63
515483,4048130,29.7
515511,4048115,52.19
515542,4048084,76.02
515563,4048064,135.36
515585,4048070,6.01
515582,4048107,420.78
515546,4048129,70.44
515203,4048520,19.87
515240,4048494,3.89
515275,4048469,12.31
515309,4048440,20.01
515341,4048412,12.02
515378,4048384,20.58
515410,4048356,21.71
515441,4048328,20.44
515477,4048301,6.44
515509,4048275,11.81
515547,4048246,7.28
515577,4048222,29.21
515608,4048201,30.2
515641,4048179,8.91
515616,4048156,7
515589,4048175,10.54
515558,4048184,28.29
515524,4048197,27.09
515502,4048220,14.21
515466,4048251,36.07
515457,4048256,176.8
515424,4048283,20.58
515391,4048310,8.27
515353,4048343,16.83
515310,4048378,5.73
515282,4048406,24.19
515247,4048436,10.25
515214,4048468,6.44
515188,4048486,7.07
515158,4048514,31.97
515171,4048557,43.14
515130,4048588,67.89
515088,4048605,183.87
515065,4048586,18.39
515095,4048562,31.82
515124,4048538,31.75
515036,4048563,21.29
515064,4048537,25.03
