x,y,CO2flux,T
427357,4520620,8.56,24.5
427325,4520590,6.59,24.4
427333,4520640,3.89,25
427361,4520670,3.17,24.7
427317,4520720,4.27,25
427313,4520760,6.06,24.8
427281,4520750,3.49,25
427285,4520690,7.55,24.5
427309,4520660,3.98,24.6
427257,4520690,8.76,24.5
427225,4520730,187.43,24.7
427229,4520670,9.32,24.7
427257,4520650,16.78,24.5
427221,4520640,16.2,25
427377,4520590,4.2,25.2
427385,4520670,2.99,25.3
427417,4520630,5.14,25.2
427417,4520580,6.7,25.3
427445,4520670,3.22,24.8
427481,4520640,3.71,25
427461,4520710,5.88,25
427501,4520620,8.2,24.7
427525,4520700,7.08,24.8
427553,4520740,8.54,24.6
427593,4520700,14.77,25
427593,4520660,11.64,25.1
427517,4520600,19.01,25
427529,4520570,21.45,25
427593,4520580,13.99,24.8
427621,4520680,13.25,24.7
427753,4520570,21,28.9
427717,4520580,637.48,34.3
427697,4520650,298.29,34
427693,4520670,257.2,33.5
427697,4520730,41.12,32.5
427657,4520750,17.07,33
427725,4520610,21.5,35.1
427709,4520610,27.44,31.2
427737,4520650,29.72,32.9
427745,4520720,17.39,32
427777,4520740,8.76,33.5
427773,4520700,16.54,34.1
427777,4520650,39.15,33.7
427781,4520620,52.02,34
427985,4520600,13.45,28
427941,4520610,19.71,29.1
427901,4520580,17.76,27.3
427809,4520680,20.36,32.2
427837,4520750,5.01,32.6
427857,4520710,10.34,32.5
427873,4520650,11.2,31.3
427829,4520630,5.95,31.7
427845,4520600,9.38,30.1
427821,4520580,53.63,30.5
427877,4520570,19.11,30
427925,4520630,15.66,30.7
427921,4520690,14.26,28.9
427969,4520650,15.4,31.5
427993,4520570,91.31,29.4
428105,4520590,87.86,30.3
428025,4520580,127.33,36
428081,4520610,11.89,28.8
428049,4520630,8.18,27.2
428173,4520590,84.33,28.4
428005,4520650,30.64,30
428001,4520730,15.4,30.9
428013,4520760,13.3,30.7
428045,4520710,14.66,30.7
428057,4520680,11.42,31.2
428133,4520680,16.76,31
428225,4520680,6.86,30.5
428261,4520660,7.46,31
428253,4520610,1125.46,36.1
428261,4520580,15.15,30.1
428205,4520590,27.1,30.5
428293,4520610,19.39,29.6
427305,4520390,285.08,27
427341,4520390,2104.13,39.5
427369,4520420,492.14,36
427373,4520460,95.39,25
427361,4520480,157.65,26
427325,4520430,45.79,25.5
427261,4520390,39.64,26.1
427305,4520490,19.1,24.7
427365,4520550,7.51,25
427293,4520550,6.79,24.7
427269,4520510,3.86,24.5
427221,4520410,13.1,25.1
427561,4520390,921.65,34.8
427509,4520470,3637.92,63.1
427489,4520390,81.45,30.2
427509,4520440,8753.16,73.3
427469,4520470,545.9,30
427469,4520490,2937.27,45.8
427449,4520370,138.47,25.2
427421,4520410,66.37,34.5
427553,4520550,48.11,26.5
427585,4520530,19.64,27.1
427425,4520480,230.78,31.7
427613,4520370,856.67,40.9
427729,4520560,800.2,38.6
427713,4520540,62.88,33.1
427621,4520490,7.8,26.7
427641,4520460,33.76,27.9
427677,4520470,6.86,27
427701,4520410,6.34,27.2
427737,4520390,16.49,26.8
427741,4520410,20.15,27.3
427745,4520440,23.08,27.1
427709,4520370,11.44,27
427985,4520430,41.83,31.1
427993,4520490,3823.81,39.7
427965,4520480,780.47,36.9
