"X","Y","X","Y"
427210.6010345,4520743.73022762,14.13584,40.832791
427210.466585508,4520610.39680434,14.135854,40.83159
427311.896470377,4520574.7590188,14.137061,40.831278
427244.548993958,4520509.25482763,14.13627,40.830682
427206.02006078,4520407.49656207,14.135825,40.829762
427196.058544785,4520235.403231,14.135727,40.828211
427193.851103986,4520097.09446975,14.135717,40.826965
427292.708577972,4520022.18103143,14.136898,40.826299
427307.003192075,4519957.98193292,14.137075,40.825722
427276.554177739,4519889.00558995,14.136722,40.825098
427282.626625554,4519752.05860798,14.13681,40.823865
427369.58806884,4519693.25036054,14.137848,40.823343
427469.446618258,4519659.40686647,14.139036,40.823047
427633.667189799,4519661.23695137,14.140983,40.823078
427643.809295418,4519766.71704665,14.141091,40.824029
427732.433360705,4519739.64838921,14.142145,40.823793
427839.037305099,4519748.70838662,14.143408,40.823884
427883.367517105,4519642.02967688,14.143946,40.822927
428023.280986337,4519633.33702638,14.145606,40.822861
428092.405384456,4519673.40751984,14.146421,40.823228
428159.610370969,4519672.30917194,14.147218,40.823224
428186.986029198,4519634.18526577,14.147547,40.822883
428362.763440825,4519618.93321399,14.149633,40.822761
428366.32273803,4519672.85400727,14.149669,40.823247
428413.648896445,4519726.46130138,14.150224,40.823734
428417.521708179,4519847.54569982,14.150256,40.824825
428414.226190836,4520064.28720122,14.150192,40.826777
428371.425855795,4520181.38364987,14.149671,40.827828
428366.025541278,4520259.26058306,14.149598,40.828529
428405.450931058,4520402.87011043,14.150049,40.829826
428360.303813112,4520521.21071182,14.1495,40.830888
428302.813434163,4520636.11892188,14.148805,40.831918
428275.643143938,4520677.68213639,14.148478,40.83229
428232.352867593,4520700.41787582,14.147962,40.832491
428086.732427714,4520701.16924108,14.146235,40.832485
428026.057213586,4520774.25644288,14.145507,40.833138
427927.938515754,4520717.26178557,14.14435,40.832616
427842.821583179,4520774.15836654,14.143334,40.833121
427626.155590514,4520770.17384641,14.140765,40.833066
427540.914185177,4520762.57276232,14.139755,40.83299
427508.664563577,4520724.36562963,14.139377,40.832643
427445.139154568,4520738.53426938,14.138622,40.832765
427320.336850283,4520781.06158992,14.137137,40.833137
427210.6010345,4520743.73022762,14.13584,40.832791
