"X","Y","X","Y"
181070.12784389,333672.161759623,5.758514,50.992112
181353.527065107,333503.282971332,5.762538,50.990581
181451.181143636,333233.443941079,5.763909,50.988151
181404.041679511,332910.349129391,5.763214,50.985249
181144.917079185,332511.409779398,5.759495,50.981675
180985.847650958,332276.306433813,5.757213,50.979569
180450.927109316,332114.98227667,5.749585,50.978143
180506.097880791,331951.827655835,5.750359,50.976674
180537.566198279,331781.769324926,5.750795,50.975144
180494.570794383,331430.112289881,5.750158,50.971985
180357.700409842,331110.699199104,5.748187,50.96912
180322.745420592,330919.841746684,5.747676,50.967406
180326.107476614,330693.906635228,5.747708,50.965375
180496.290103197,330333.73758184,5.750105,50.96213
180724.483305435,330165.884267417,5.753341,50.960611
180654.148620375,330110.574286725,5.752336,50.960117
180503.781618049,330211.620650725,5.750203,50.961032
180322.223045892,330299.05608936,5.747625,50.961826
180082.857322889,330284.197741911,5.744217,50.961703
179866.906868716,330148.978599662,5.741134,50.960497
179714.859205362,329974.915168821,5.738958,50.958939
179501.007369616,329777.977143485,5.735901,50.957178
179238.3743069,329655.356114758,5.732155,50.956087
178988.215254141,329687.77983613,5.728597,50.956389
178746.956993076,329786.673840214,5.72517,50.957288
178534.008572634,330410.369433867,5.72218,50.962903
178705.883825074,330662.810095114,5.724643,50.965165
178877.542497465,330867.528810231,5.7271,50.966998
179006.898575272,331042.240077116,5.728953,50.968563
179182.862314936,331222.513982425,5.73147,50.970176
179290.975712721,331369.653450715,5.733019,50.971494
179421.107897427,331582.315675693,5.734886,50.9734
179471.448179346,331866.913716018,5.735622,50.975956
179530.301852393,332029.510241583,5.736471,50.977415
179618.667972766,332158.873491976,5.737738,50.978574
179720.595926847,332242.023010032,5.739195,50.979317
180025.620564627,332311.809120531,5.743543,50.979931
180273.528034288,332412.704804294,5.74708,50.980827
180487.300775656,332653.953527835,5.750141,50.982986
180663.995137251,332989.700780103,5.752681,50.985996
180801.275137593,333297.44310446,5.754658,50.988756
180938.238871941,333539.437958345,5.756626,50.990925
181070.12784389,333672.161759623,5.758514,50.992112
